sg	trm	hm	xyz
84	a-b,a+b,c	C 42/m	x,y,z;-x,-y,z;-y,x,z+1/2;y,-x,z+1/2;-x,-y,-z;x,y,-z;y,-x,-z+1/2;-y,x,-z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z+1/2;y+1/2,-x+1/2,z+1/2;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;y+1/2,-x+1/2,-z+1/2;-y+1/2,x+1/2,-z+1/2
85	a,b,c	P 4/n  [origin 2]	x,y,z;-x+1/2,-y+1/2,z;-y+1/2,x,z;y,-x+1/2,z;-x,-y,-z;x+1/2,y+1/2,-z;y+1/2,-x,-z;-y,x+1/2,-z
85	a-b,a+b,c	C 4/e :2	x,y,z;-x,-y+1/2,z;-y+1/4,x+1/4,z;y-1/4,-x+1/4,z;-x,-y,-z;x,y+1/2,-z;y+1/4,-x+1/4,-z;-y-1/4,x+1/4,-z;x+1/2,y+1/2,z;-y+3/4,x+3/4,z;y+1/4,-x+3/4,z;-x+1/2,-y+1/2,-z;y+3/4,-x+3/4,-z;-y+1/4,x+3/4,-z
85	a,b,c;-1/4,1/4,0	P 4/n :1	x,y,z;-y+1/2,x-1/2,z;y+1/2,-x+1/2,z;-x+1/2,-y-1/2,-z;x+1/2,y+1/2,-z;-y,x,-z
85	a-b,a+b,c;-1/4,1/4,0	C 4/e :1	x,y,z;-x+1/2,-y+1/2,z;-y+1/2,x,z;y,-x+1/2,z;-x+1/2,-y,-z;x,y+1/2,-z;y+1/2,-x+1/2,-z;-y,x,-z;x+1/2,y+1/2,z;-y+1/2,x+1/2,-z
86	a,b,c	P 42/n  [origin 2]	x,y,z;-x+1/2,-y+1/2,z;-y,x+1/2,z+1/2;y+1/2,-x,z+1/2;-x,-y,-z;x+1/2,y+1/2,-z;y,-x+1/2,-z+1/2;-y+1/2,x,-z+1/2
86	a-b,a+b,c	C 42/e :2	x,y,z;-x,-y+1/2,z;-y-1/4,x+1/4,z+1/2;y+1/4,-x+1/4,z+1/2;-x,-y,-z;x,y+1/2,-z;y-1/4,-x+1/4,-z+1/2;-y+1/4,x+1/4,-z+1/2;x+1/2,y+1/2,z;-y+1/4,x+3/4,z+1/2;y+3/4,-x+3/4,z+1/2;-x+1/2,-y+1/2,-z;y+1/4,-x+3/4,-z+1/2;-y+3/4,x+3/4,-z+1/2
86	a,b,c;-1/4,-1/4,-1/4	P 42/n :1	x,y,z;-y+1/2,x+1/2,z+1/2;y+1/2,-x+1/2,z+1/2;-x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2
86	a-b,a+b,c;-1/4,-1/4,-1/4	C 42/e :1	x,y,z;-y,x+1/2,z+1/2;y,-x+1/2,z+1/2;-x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+3/2,z
87	a,b,c	I 4/m	x,y,z;-x,-y,z;-y,x,z;y,-x,z;-x,-y,-z;x,y,-z;y,-x,-z;-y,x,-z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;-y+1/2,x+1/2,z+1/2;y+1/2,-x+1/2,z+1/2;-x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;y+1/2,-x+1/2,-z+1/2;-y+1/2,x+1/2,-z+1/2
87	a-b,a+b,c	F 4/m	x,y,z;-x,-y,z;-y,x,z;y,-x,z;-x,-y,-z;x,y,-z;y,-x,-z;-y,x,-z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-y,x+1/2,z+1/2;y,-x+1/2,z+1/2;-x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;y,-x+1/2,-z+1/2;-y,x+1/2,-z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z;y+1/2,-x+1/2,z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z
88	a,b,c	I 41/a  [origin 2]	x,y,z;-x+1/2,-y,z+1/2;-y+3/4,x+1/4,z+1/4;y+3/4,-x+3/4,z+3/4;-x,-y,-z;x+1/2,y,-z+1/2;y+1/4,-x+3/4,-z+3/4;-y+1/4,x+1/4,-z+1/4;x+1/2,y+1/2,z+1/2;-x,-y+1/2,z;-y+1/4,x+3/4,z+3/4;y+1/4,-x+1/4,z+1/4;-x+1/2,-y+1/2,-z+1/2;x,y+1/2,-z;y+3/4,-x+1/4,-z+1/4;-y+3/4,x+3/4,-z+3/4
88	a-b,a+b,c	F 41/d :2	x,y,z;-x+1/4,-y+1/4,z+1/2;-y+1/4,x+1/2,z+1/4;y,-x+3/4,z+3/4;-x,-y,-z;x+1/4,y+1/4,-z+1/2;y-1/4,-x+1/2,-z+3/4;-y,x+1/4,-z+1/4;x,y+1/2,z+1/2;-x-1/4,-y+1/4,z;-y-1/4,x+1/2,z+3/4;y,-x+1/4,z+1/4;-x,-y+1/2,-z+1/2;x-1/4,y+1/4,-z;y+1/4,-x+1/2,-z+1/4;-y,x+3/4,-z+3/4;x+1/2,y+1/2,z;-x+3/4,-y+3/4,z+1/2;y+1/2,-x+5/4,z+3/4;-x+1/2,-y+1/2,-z;x+3/4,y+3/4,-z+1/2;-y+1/2,x+3/4,-z+1/4;-x+1/4,-y+3/4,z;y+1/2,-x+3/4,z+1/4;x+1/4,y+3/4,-z;-y+1/2,x+5/4,-z+3/4
88	a,b,c;0,-1/4,-1/8	I 41/a :1	x,y,z;-x+1/2,-y+42,z+1/2;-y+87/4,x+85/4,z+1/4;y-81/4,-x+87/4,z+3/4;-x,-y+42,-z+124/3;x+1/2,y,-z+251/6;y-83/4,-x+87/4,-z+505/12;-y+85/4,x+85/4,-z+499/12;x+1/2,y+1/2,z+1/2;-x,-y+85/2,z;-y+85/4,x+87/4,z+3/4;y-83/4,-x+85/4,z+1/4;-x+1/2,-y+85/2,-z+251/6;x,y+1/2,-z+124/3;y-81/4,-x+85/4,-z+499/12;-y+87/4,x+87/4,-z+505/12
88	a-b,a+b,c;0,-1/4,-1/8	F 41/d :1	x,y,z;-x-83/4,-y+85/4,z+1/2;-y+1/4,x+43/2,z+1/4;y-21,-x+3/4,z+3/4;-x-21,-y+21,-z+124/3;x+1/4,y+1/4,-z+251/6;y-85/4,-x+1/2,-z+505/12;-y,x+85/4,-z+499/12;x,y+1/2,z+1/2;-x-85/4,-y+85/4,z;-y-1/4,x+43/2,z+3/4;y-21,-x+1/4,z+1/4;-x-21,-y+43/2,-z+251/6;x-1/4,y+1/4,-z+124/3;y-83/4,-x+1/2,-z+499/12;-y,x+87/4,-z+505/12;x+1/2,y+1/2,z;-x-81/4,-y+87/4,z+1/2;-y+3/4,x+22,z+1/4;y-41/2,-x+5/4,z+3/4;-x-41/2,-y+43/2,-z+124/3;x+3/4,y+3/4,-z+251/6;-y+1/2,x+87/4,-z+499/12;-x-83/4,-y+87/4,z;-y+1/4,x+22,z+3/4;y-41/2,-x+3/4,z+1/4;-x-41/2,-y+22,-z+251/6;x+1/4,y+3/4,-z+124/3;-y+1/2,x+89/4,-z+505/12
89	a,b,c	P 4 2 2	x,y,z;-x,-y,z;-y,x,z;y,-x,z;-x,y,-z;x,-y,-z;y,x,-z;-y,-x,-z
89	a-b,a+b,c	C 4 2 2	x,y,z;-x,-y,z;-y,x,z;y,-x,z;-y,-x,-z;y,x,-z;-x,y,-z;x,-y,-z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z;y+1/2,-x+1/2,z;-y+1/2,-x+1/2,-z;y+1/2,x+1/2,-z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z
90	a,b,c	P 4 21 2	x,y,z;-x,-y,z;-y+1/2,x+1/2,z;y+1/2,-x+1/2,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z;y,x,-z;-y,-x,-z
90	a-b,a+b,c	C 4 2 21	x,y,z;-x,-y,z;-y,x+1/2,z;y,-x+1/2,z;-y,-x+1/2,-z;y,x+1/2,-z;-x,y,-z;x,-y,-z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z
91	a,b,c	P 41 2 2	x,y,z;-x,-y,z+1/2;-y,x,z+1/4;y,-x,z+3/4;-x,y,-z;x,-y,-z+1/2;y,x,-z+3/4;-y,-x,-z+1/4
91	a-b,a+b,c	C 41 2 2	x,y,z;-x,-y,z+1/2;-y,x,z+1/4;y,-x,z+3/4;-y,-x,-z;y,x,-z+1/2;-x,y,-z+3/4;x,-y,-z+1/4;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z+1/2;-y+1/2,x+1/2,z+1/4;y+1/2,-x+1/2,z+3/4;-y+1/2,-x+1/2,-z;y+1/2,x+1/2,-z+1/2;-x+1/2,y+1/2,-z+3/4;x+1/2,-y+1/2,-z+1/4
92	a,b,c	P 41 21 2	x,y,z;-x,-y,z+1/2;-y+1/2,x+1/2,z+1/4;y+1/2,-x+1/2,z+3/4;-x+1/2,y+1/2,-z+1/4;x+1/2,-y+1/2,-z+3/4;y,x,-z;-y,-x,-z+1/2
92	a-b,a+b,c	C 41 2 21	x,y,z;-x,-y,z+1/2;-y,x+1/2,z+1/4;y,-x+1/2,z+3/4;-y,-x+1/2,-z+1/4;y,x+1/2,-z+3/4;-x,y,-z;x,-y,-z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z+1/2
93	a,b,c	P 42 2 2	x,y,z;-x,-y,z;-y,x,z+1/2;y,-x,z+1/2;-x,y,-z;x,-y,-z;y,x,-z+1/2;-y,-x,-z+1/2
93	a-b,a+b,c	C 42 2 2	x,y,z;-x,-y,z;-y,x,z+1/2;y,-x,z+1/2;-y,-x,-z;y,x,-z;-x,y,-z+1/2;x,-y,-z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z+1/2;y+1/2,-x+1/2,z+1/2;-y+1/2,-x+1/2,-z;y+1/2,x+1/2,-z;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2
94	a,b,c	P 42 21 2	x,y,z;-x,-y,z;-y+1/2,x+1/2,z+1/2;y+1/2,-x+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;y,x,-z;-y,-x,-z
94	a-b,a+b,c	C 42 2 21	x,y,z;-x,-y,z;-y,x+1/2,z+1/2;y,-x+1/2,z+1/2;-y,-x+1/2,-z+1/2;y,x+1/2,-z+1/2;-x,y,-z;x,-y,-z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z
95	a,b,c	P 43 2 2	x,y,z;-x,-y,z+1/2;-y,x,z+3/4;y,-x,z+1/4;-x,y,-z;x,-y,-z+1/2;y,x,-z+1/4;-y,-x,-z+3/4
95	a-b,a+b,c	C 43 2 2	x,y,z;-x,-y,z+1/2;-y,x,z+3/4;y,-x,z+1/4;-y,-x,-z;y,x,-z+1/2;-x,y,-z+1/4;x,-y,-z+3/4;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z+1/2;-y+1/2,x+1/2,z+3/4;y+1/2,-x+1/2,z+1/4;-y+1/2,-x+1/2,-z;y+1/2,x+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/4;x+1/2,-y+1/2,-z+3/4
96	a,b,c	P 43 21 2	x,y,z;-x,-y,z+1/2;-y+1/2,x+1/2,z+3/4;y+1/2,-x+1/2,z+1/4;-x+1/2,y+1/2,-z+3/4;x+1/2,-y+1/2,-z+1/4;y,x,-z;-y,-x,-z+1/2
96	a-b,a+b,c	C 43 2 21	x,y,z;-x,-y,z+1/2;-y,x+1/2,z+3/4;y,-x+1/2,z+1/4;-y,-x+1/2,-z+3/4;y,x+1/2,-z+1/4;-x,y,-z;x,-y,-z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z+1/2
97	a,b,c	I 4 2 2	x,y,z;-x,-y,z;-y,x,z;y,-x,z;-x,y,-z;x,-y,-z;y,x,-z;-y,-x,-z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;-y+1/2,x+1/2,z+1/2;y+1/2,-x+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;y+1/2,x+1/2,-z+1/2;-y+1/2,-x+1/2,-z+1/2
97	a-b,a+b,c	F 4 2 2	x,y,z;-x,-y,z;-y,x,z;y,-x,z;-y,-x,-z;y,x,-z;-x,y,-z;x,-y,-z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-y,x+1/2,z+1/2;y,-x+1/2,z+1/2;-y,-x+1/2,-z+1/2;y,x+1/2,-z+1/2;-x,y+1/2,-z+1/2;x,-y+1/2,-z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z;y+1/2,-x+1/2,z;-y+1/2,-x+1/2,-z;y+1/2,x+1/2,-z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z
98	a,b,c	I 41 2 2	x,y,z;-x+1/2,-y+1/2,z+1/2;-y,x+1/2,z+1/4;y+1/2,-x,z+3/4;-x+1/2,y,-z+3/4;x,-y+1/2,-z+1/4;y+1/2,x+1/2,-z+1/2;-y,-x,-z;x+1/2,y+1/2,z+1/2;-x,-y,z;-y+1/2,x,z+3/4;y,-x+1/2,z+1/4;-x,y+1/2,-z+1/4;x+1/2,-y,-z+3/4;y,x,-z;-y+1/2,-x+1/2,-z+1/2
98	a-b,a+b,c	F 41 2 2	x,y,z;-x,-y+1/2,z+1/2;-y-1/4,x+1/4,z+1/4;y+1/4,-x+1/4,z+3/4;-y+1/4,-x+1/4,-z+3/4;y-1/4,x+1/4,-z+1/4;-x,y+1/2,-z+1/2;x,-y,-z;x,y+1/2,z+1/2;-x,-y,z;-y+1/4,x+1/4,z+3/4;y-1/4,-x+1/4,z+1/4;-y-1/4,-x+1/4,-z+1/4;y+1/4,x+1/4,-z+3/4;-x,y,-z;x,-y+1/2,-z+1/2;x+1/2,y+1/2,z;-y+1/4,x+3/4,z+1/4;y+3/4,-x+3/4,z+3/4;-y+3/4,-x+3/4,-z+3/4;y+1/4,x+3/4,-z+1/4;x+1/2,-y+1/2,-z;-x+1/2,-y+1/2,z;-y+3/4,x+3/4,z+3/4;y+1/4,-x+3/4,z+1/4;-y+1/4,-x+3/4,-z+1/4;y+3/4,x+3/4,-z+3/4;-x+1/2,y+1/2,-z
99	a,b,c	P 4 m m	x,y,z;-x,-y,z;-y,x,z;y,-x,z;x,-y,z;-x,y,z;-y,-x,z;y,x,z
99	a-b,a+b,c	C 4 m m	x,y,z;-x,-y,z;-y,x,z;y,-x,z;y,x,z;-y,-x,z;x,-y,z;-x,y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z;y+1/2,-x+1/2,z;y+1/2,x+1/2,z;-y+1/2,-x+1/2,z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z
100	a,b,c	P 4 b m	x,y,z;-x,-y,z;-y,x,z;y,-x,z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z;-y+1/2,-x+1/2,z;y+1/2,x+1/2,z
100	a-b,a+b,c	C 4 m g1	x,y,z;-x,-y,z;-y,x,z;y,-x,z;y,x+1/2,z;-y,-x+1/2,z;x,-y+1/2,z;-x,y+1/2,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z;y+1/2,-x+1/2,z
101	a,b,c	P 42 c m	x,y,z;-x,-y,z;-y,x,z+1/2;y,-x,z+1/2;x,-y,z+1/2;-x,y,z+1/2;-y,-x,z;y,x,z
101	a-b,a+b,c	C 42 m c	x,y,z;-x,-y,z;-y,x,z+1/2;y,-x,z+1/2;y,x,z+1/2;-y,-x,z+1/2;x,-y,z;-x,y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z+1/2;y+1/2,-x+1/2,z+1/2;y+1/2,x+1/2,z+1/2;-y+1/2,-x+1/2,z+1/2;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z
102	a,b,c	P 42 n m	x,y,z;-x,-y,z;-y+1/2,x+1/2,z+1/2;y+1/2,-x+1/2,z+1/2;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2;-y,-x,z;y,x,z
102	a-b,a+b,c	C 42 m g2	x,y,z;-x,-y,z;-y,x+1/2,z+1/2;y,-x+1/2,z+1/2;y,x+1/2,z+1/2;-y,-x+1/2,z+1/2;x,-y,z;-x,y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z
103	a,b,c	P 4 c c	x,y,z;-x,-y,z;-y,x,z;y,-x,z;x,-y,z+1/2;-x,y,z+1/2;-y,-x,z+1/2;y,x,z+1/2
103	a-b,a+b,c	C 4 c c	x,y,z;-x,-y,z;-y,x,z;y,-x,z;y,x,z+1/2;-y,-x,z+1/2;x,-y,z+1/2;-x,y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z;y+1/2,-x+1/2,z;y+1/2,x+1/2,z+1/2;-y+1/2,-x+1/2,z+1/2;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2
104	a,b,c	P 4 n c	x,y,z;-x,-y,z;-y,x,z;y,-x,z;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2;-y+1/2,-x+1/2,z+1/2;y+1/2,x+1/2,z+1/2
104	a-b,a+b,c	C 4 c g2	x,y,z;-x,-y,z;-y,x,z;y,-x,z;y,x+1/2,z+1/2;-y,-x+1/2,z+1/2;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z;y+1/2,-x+1/2,z
105	a,b,c	P 42 m c	x,y,z;-x,-y,z;-y,x,z+1/2;y,-x,z+1/2;x,-y,z;-x,y,z;-y,-x,z+1/2;y,x,z+1/2
105	a-b,a+b,c	C 42 c m	x,y,z;-x,-y,z;-y,x,z+1/2;y,-x,z+1/2;y,x,z;-y,-x,z;x,-y,z+1/2;-x,y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z+1/2;y+1/2,-x+1/2,z+1/2;y+1/2,x+1/2,z;-y+1/2,-x+1/2,z;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2
106	a,b,c	P 42 b c	x,y,z;-x,-y,z;-y,x,z+1/2;y,-x,z+1/2;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z;-y+1/2,-x+1/2,z+1/2;y+1/2,x+1/2,z+1/2
106	a-b,a+b,c	C 42 c g1	x,y,z;-x,-y,z;-y,x,z+1/2;y,-x,z+1/2;y,x+1/2,z;-y,-x+1/2,z;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z+1/2;y+1/2,-x+1/2,z+1/2
107	a,b,c	I 4 m m	x,y,z;-x,-y,z;-y,x,z;y,-x,z;x,-y,z;-x,y,z;-y,-x,z;y,x,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;-y+1/2,x+1/2,z+1/2;y+1/2,-x+1/2,z+1/2;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2;-y+1/2,-x+1/2,z+1/2;y+1/2,x+1/2,z+1/2
107	a-b,a+b,c	F 4 m m	x,y,z;-x,-y,z;-y,x,z;y,-x,z;y,x,z;-y,-x,z;x,-y,z;-x,y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-y,x+1/2,z+1/2;y,-x+1/2,z+1/2;y,x+1/2,z+1/2;-y,-x+1/2,z+1/2;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z;y+1/2,-x+1/2,z;y+1/2,x+1/2,z;-y+1/2,-x+1/2,z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z
108	a,b,c	I 4 c m	x,y,z;-x,-y,z;-y,x,z;y,-x,z;x,-y,z+1/2;-x,y,z+1/2;-y,-x,z+1/2;y,x,z+1/2;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;-y+1/2,x+1/2,z+1/2;y+1/2,-x+1/2,z+1/2;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z;-y+1/2,-x+1/2,z;y+1/2,x+1/2,z
108	a-b,a+b,c	F 4 m c	x,y,z;-x,-y,z;-y,x,z;y,-x,z;y,x,z+1/2;-y,-x,z+1/2;x,-y,z+1/2;-x,y,z+1/2;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-y,x+1/2,z+1/2;y,-x+1/2,z+1/2;y,x+1/2,z;-y,-x+1/2,z;x,-y+1/2,z;-x,y+1/2,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z;y+1/2,-x+1/2,z;y+1/2,x+1/2,z+1/2;-y+1/2,-x+1/2,z+1/2;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2
109	a,b,c	I 41 m d	x,y,z;-x+1/2,-y+1/2,z+1/2;-y,x+1/2,z+1/4;y+1/2,-x,z+3/4;x,-y,z;-x+1/2,y+1/2,z+1/2;-y,-x+1/2,z+1/4;y+1/2,x,z+3/4;x+1/2,y+1/2,z+1/2;-x,-y,z;-y+1/2,x,z+3/4;y,-x+1/2,z+1/4;x+1/2,-y+1/2,z+1/2;-x,y,z;-y+1/2,-x,z+3/4;y,x+1/2,z+1/4
109	a-b,a+b,c	F 41 d m	x,y,z;-x,-y+1/2,z+1/2;-y-1/4,x+1/4,z+1/4;y+1/4,-x+1/4,z+3/4;y,x,z;-y,-x+1/2,z+1/2;x-1/4,-y+1/4,z+1/4;-x+1/4,y+1/4,z+3/4;x,y+1/2,z+1/2;-x,-y,z;-y+1/4,x+1/4,z+3/4;y-1/4,-x+1/4,z+1/4;y,x+1/2,z+1/2;-y,-x,z;x+1/4,-y+1/4,z+3/4;-x-1/4,y+1/4,z+1/4;x+1/2,y+1/2,z;-y+1/4,x+3/4,z+1/4;y+3/4,-x+3/4,z+3/4;y+1/2,x+1/2,z;x+1/4,-y+3/4,z+1/4;-x+3/4,y+3/4,z+3/4;-x+1/2,-y+1/2,z;-y+3/4,x+3/4,z+3/4;y+1/4,-x+3/4,z+1/4;-y+1/2,-x+1/2,z;x+3/4,-y+3/4,z+3/4;-x+1/4,y+3/4,z+1/4
110	a,b,c	I 41 c d	x,y,z;-x+1/2,-y+1/2,z+1/2;-y,x+1/2,z+1/4;y+1/2,-x,z+3/4;x,-y,z+1/2;-x+1/2,y+1/2,z;-y,-x+1/2,z+3/4;y+1/2,x,z+1/4;x+1/2,y+1/2,z+1/2;-x,-y,z;-y+1/2,x,z+3/4;y,-x+1/2,z+1/4;x+1/2,-y+1/2,z;-x,y,z+1/2;-y+1/2,-x,z+1/4;y,x+1/2,z+3/4
110	a-b,a+b,c	F 41 d c	x,y,z;-x,-y+1/2,z+1/2;-y-1/4,x+1/4,z+1/4;y+1/4,-x+1/4,z+3/4;y,x,z+1/2;-y,-x+1/2,z;x-1/4,-y+1/4,z+3/4;-x+1/4,y+1/4,z+1/4;x,y+1/2,z+1/2;-x,-y,z;-y+1/4,x+1/4,z+3/4;y-1/4,-x+1/4,z+1/4;y,x+1/2,z;-y,-x,z+1/2;x+1/4,-y+1/4,z+1/4;-x-1/4,y+1/4,z+3/4;x+1/2,y+1/2,z;-y+1/4,x+3/4,z+1/4;y+3/4,-x+3/4,z+3/4;y+1/2,x+1/2,z+1/2;x+1/4,-y+3/4,z+3/4;-x+3/4,y+3/4,z+1/4;-x+1/2,-y+1/2,z;-y+3/4,x+3/4,z+3/4;y+1/4,-x+3/4,z+1/4;-y+1/2,-x+1/2,z+1/2;x+3/4,-y+3/4,z+1/4;-x+1/4,y+3/4,z+3/4
111	a,b,c	P -4 2 m	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;-x,y,-z;x,-y,-z;-y,-x,z;y,x,z
111	a-b,a+b,c	C -4 m 2	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;-y,-x,-z;y,x,-z;x,-y,z;-x,y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z;-y+1/2,-x+1/2,-z;y+1/2,x+1/2,-z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z
112	a,b,c	P -4 2 c	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;-x,y,-z+1/2;x,-y,-z+1/2;-y,-x,z+1/2;y,x,z+1/2
112	a-b,a+b,c	C -4 c 2	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;-y,-x,-z+1/2;y,x,-z+1/2;x,-y,z+1/2;-x,y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z;-y+1/2,-x+1/2,-z+1/2;y+1/2,x+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2
113	a,b,c	P -4 21 m	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z;-y+1/2,-x+1/2,z;y+1/2,x+1/2,z
113	a-b,a+b,c	C -4 m 21	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;-y,-x+1/2,-z;y,x+1/2,-z;x,-y+1/2,z;-x,y+1/2,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z
114	a,b,c	P -4 21 c	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;-y+1/2,-x+1/2,z+1/2;y+1/2,x+1/2,z+1/2
114	a-b,a+b,c	C -4 c 21	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;-y,-x+1/2,-z+1/2;y,x+1/2,-z+1/2;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z
115	a,b,c	P -4 m 2	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;x,-y,z;-x,y,z;y,x,-z;-y,-x,-z
115	a-b,a+b,c	C -4 2 m	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;y,x,z;-y,-x,z;-x,y,-z;x,-y,-z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z;y+1/2,x+1/2,z;-y+1/2,-x+1/2,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z
116	a,b,c	P -4 c 2	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;x,-y,z+1/2;-x,y,z+1/2;y,x,-z+1/2;-y,-x,-z+1/2
